1, 731, 4, 75.4
2, 1955, 8, 75.6
3, 1904, 11, 75.9
4, 2297, 9, 75.5
5, 1868, 14, 75.2
6, 3555, 17, 75.2
7, 1886, 15, 75.3
8, 2625, 20, 75.6
9, 2243, 18, 75.5
10, 2900, 21, 76.0
11, 2746, 26, 75.7
12, 3995, 28, 75.8
13, 3689, 30, 75.9
14, 1934, 32, 75.7
15, 2644, 29, 75.5
16, 1751, 34, 75.3
17, 3221, 32, 75.3
18, 2576, 29, 74.9
19, 2831, 28, 75.1
20, 3640, 26, 75.4
21, 3797, 25, 75.9
22, 1607, 29, 75.5
23, 3558, 32, 75.8
24, 3250, 29, 75.4
25, 2352, 26, 75.5
26, 3282, 28, 76.0
27, 1570, 29, 75.9
28, 2837, 31, 75.9
29, 1707, 29, 76.1
30, 2633, 33, 75.8
31, 2511, 38, 75.9
32, 2200, 40, 75.4
33, 3559, 37, 75.6
34, 3757, 36, 75.2
35, 3857, 35, 74.8
36, 3659, 39, 74.6
37, 1659, 36, 74.4
38, 1547, 37, 74.2
39, 2706, 36, 74.3
40, 1651, 39, 73.8
41, 3988, 36, 74.2
42, 3063, 37, 74.3
43, 3882, 42, 74.0
44, 2929, 44, 74.0
45, 2011, 41, 74.4
46, 3080, 43, 74.2
47, 2742, 40, 73.9
48, 1537, 45, 73.8
49, 2319, 42, 74.2
50, 2969, 40, 74.3
51, 3768, 41, 74.3
52, 3746, 46, 73.9
53, 2723, 43, 73.6
54, 3476, 42, 73.4
55, 3285, 41, 73.4
56, 2120, 39, 73.3
57, 3920, 43, 72.9
58, 2010, 42, 72.8
59, 2526, 40, 73.1
60, 3274, 37, 73.2
61, 3477, 36, 73.0
62, 2244, 38, 72.8
63, 3710, 41, 72.3
64, 2402, 38, 72.0
65, 2616, 36, 71.9
66, 1584, 41, 71.7
67, 3249, 39, 71.8
68, 2706, 38, 71.6
69, 3523, 40, 71.4
70, 1976, 42, 71.8
71, 2359, 46, 71.5
72, 2667, 44, 71.2
73, 3393, 45, 71.1
74, 1590, 47, 71.4
75, 3958, 45, 70.9
76, 3044, 43, 70.8
77, 2682, 42, 71.3
78, 3126, 45, 71.6
79, 1879, 48, 71.3
80, 3715, 50, 71.8
81, 2600, 51, 72.1
82, 3221, 49, 72.4
83, 3206, 51, 72.6
84, 1758, 48, 72.7
85, 3665, 49, 72.4
86, 2400, 46, 72.5
87, 2801, 45, 72.9
88, 2694, 42, 72.5
89, 3978, 40, 72.8
90, 3482, 43, 73.2
91, 1958, 44, 73.2
92, 1833, 45, 73.1
93, 2034, 44, 73.2
94, 2699, 41, 73.2
95, 1998, 39, 72.8
96, 3299, 38, 73.0
97, 3283, 35, 73.0
98, 3956, 36, 73.3
99, 1897, 38, 73.1
100, 3484, 37, 73.1
101, 2334, 34, 73.4
102, 3640, 33, 73.9
103, 3215, 31, 73.6
104, 1882, 30, 73.8
105, 2016, 29, 74.2
106, 3230, 31, 74.0
107, 1761, 29, 74.3
108, 1591, 30, 74.5
109, 2200, 33, 74.3
110, 2471, 38, 74.6
111, 3313, 41, 74.5
112, 1562, 38, 74.8
113, 3481, 39, 74.5
114, 2264, 40, 74.1
115, 3533, 39, 74.0
116, 2818, 42, 74.2
117, 3921, 43, 73.8
118, 3841, 42, 74.1
119, 3501, 46, 74.3
120, 3284, 49, 74.7
121, 2632, 54, 74.7
122, 3869, 58, 74.5
123, 3589, 57, 74.7
124, 2688, 55, 74.6
125, 3350, 56, 74.2
126, 2822, 54, 74.4
127, 2170, 52, 74.6
128, 2176, 53, 74.8
129, 1860, 55, 74.9
130, 1715, 56, 75.2
131, 2933, 53, 74.9
132, 2604, 57, 74.9
133, 2483, 56, 74.4
134, 3459, 53, 74.8
135, 1571, 50, 74.8
136, 2185, 55, 74.5
137, 2554, 56, 74.5
138, 2310, 58, 74.7
139, 3883, 57, 74.2
140, 3575, 61, 74.7
141, 1760, 66, 75.0
142, 2767, 69, 75.0
1, 749, 1, 79.0
2, 3697, 3, 79.0
3, 3369, 5, 79.4
4, 2763, 10, 79.0
5, 3703, 7, 79.5
6, 3041, 10, 79.2
7, 1618, 9, 79.5
8, 3623, 8, 79.8
9, 3240, 9, 79.5
10, 1521, 10, 79.4
11, 3087, 8, 79.7
12, 2065, 10, 79.9
13, 2269, 12, 79.6
14, 2908, 17, 80.0
15, 2148, 16, 79.9
16, 2581, 17, 79.5
17, 3537, 16, 79.6
1, 887, 0, 80.2
2, 794, 3, 80.0
3, 2013, 2, 80.5
4, 3459, 0, 80.5
5, 771, 3, 81.0
6, 3196, 0, 81.1
7, 773, 3, 81.3
8, 3856, 8, 81.5
9, 1648, 5, 81.7
10, 2368, 10, 81.9
11, 3742, 9, 81.6
12, 2014, 8, 82.0
13, 2823, 7, 82.1
14, 1848, 12, 82.5
15, 1897, 10, 82.5
16, 3291, 14, 82.4
17, 3069, 16, 81.9
